Reference Handle,Token,Item Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled Mia's Bakery,Current Quantity Mia's Bakery,New Quantity Mia's Bakery,Stock Alert Enabled Mia's Bakery,Stock Alert Count Mia's Bakery,Price Mia's Bakery,Enabled Mias UES,Current Quantity Mias UES,New Quantity Mias UES,Stock Alert Enabled Mias UES,Stock Alert Count Mias UES,Price Mias UES,Enabled Times Square,Current Quantity Times Square,New Quantity Times Square,Stock Alert Enabled Times Square,Stock Alert Count Times Square,Price Times Square,Modifier Set - Border Color,Modifier Set - Cake Pop Cupcake Flavor Choice,Modifier Set - Cupcake Flavor,Modifier Set - Cupcake Frosting,Modifier Set - Extra Shot Add-on,Modifier Set - Flavor - INST7PSUNRASXDKNC5NF7UUI,Modifier Set - Flavor - QDJSMW4SXF3MTFEZDQ6QJIZC,Modifier Set - Flavors,Modifier Set - Hot Drinks Extra Shot Choice,Modifier Set - Inscription,Modifier Set - Size,"Tax - New York, New York (11201) (8.875%)"
#black-forest-cake-fs,7CXR5PPTEZOMZWORDYWM7N4L,Black Forest Cake,FS,,Q207918,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,240.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#black-forest-cupcake-ts--,L6JGAY4KNPYQ4VGZ7MFHBDFD,Black Forest Cupcake (TS),,,218639C,,Cupcakes to Stay,Cupcakes to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,4.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#black-forest-cupcake-to-go-,OA7LC3AJR2TUWGD427NTSDVQ,Black Forest Cupcake to Go,,,686637S,,Cupcakes to Go,Cupcakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,4.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blackout-cake-slice,WCDDGHJCFQAZCPIY4SER2RWA,Blackout Cake,Slice,,L907619,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blackout-cake-7inch,PV6VCASBIHCHOLCONU2UBTPJ,Blackout Cake,7inch,,Q183415,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,50.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blackout-cake-8inch,ZZJVHDB3WOCWXBJKXAKWRS55,Blackout Cake,8inch,,803132C,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,54.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blackout-cake-10inch,3NE4H4VIAOX5RAFNQXJ7CSV5,Blackout Cake,10inch,,946149G,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,65.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blackout-cake-qs,LZNHEFZIUFVAC6ZJP3RO4QIE,Blackout Cake,QS,,E452258,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,100.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blackout-cake-hs,URY6A2MFM6ACJ2G7KQUTRFG5,Blackout Cake,HS,,221688R,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,175.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blackout-cake-fs,U6ZTYWLJTDEKNNUXSES3UDBW,Blackout Cake,FS,,T491480,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,240.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blue-velvet-cake-slice,OKQSOSPG3COQ6LG2TIO7VZBC,Blue Velvet Cake,Slice,,800902B,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blue-velvet-cake-7inch,WRN4W7NNI6NXGCJUCKUOG2D6,Blue Velvet Cake,7inch,,895157R,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,50.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blue-velvet-cake-8inch,MVGWDSJJKNL5XF3MRBBDHS7M,Blue Velvet Cake,8inch,,5046659,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,54.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blue-velvet-cake-10inch,6FOC2DOBQGQR4LXKJ63DXC5B,Blue Velvet Cake,10inch,,3298131,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,65.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blue-velvet-cake-qs,RVH46XVCYUUKHX6IEKWIOS3B,Blue Velvet Cake,QS,,3597469,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,100.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blue-velvet-cake-hs,KOWX5QT4MUBOYYGT5DDI7JWP,Blue Velvet Cake,HS,,8534513,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,175.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blue-velvet-cake-fs,IAZSROK4NQVYIGUVC5QR3HZS,Blue Velvet Cake,FS,,920656L,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,240.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blueberry-cheesecake-slice,XARCQZDIWFLSIZDOKXB2VPYA,Blueberry Cheesecake,Slice,,8089992,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blueberry-cheesecake-8inch,RPDCYZ4JAOZ525SPZSQXLHXY,Blueberry Cheesecake,8inch,,421355N,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,56.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blueberry-cheesecake-10inch,KSXBIAZRRIKVB43IJRTDUCWO,Blueberry Cheesecake,10inch,,851001R,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,68.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blueberry-crumb-pie-8inch,SNKGXRIZERLAPMGB7R6ROG74,Blueberry Crumb Pie,8inch,,5312650,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,29.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blueberry-crumb-pie-10inch,SGYOBJASJMZ6RDGOF6E5JEAK,Blueberry Crumb Pie,10inch,,8954232,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,,38.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blueberry-muffin-ts--,5ST55FGEBH7QFVTIOEXQSXJL,Blueberry Muffin (TS),,,T841991,,Muffin to Stay,Muffin to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,4.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#blueberry-muffin-to-go-,O7Z5ZLZS5JW2YPAKT5SNUQT5,Blueberry Muffin to Go,,,P826454,,Muffin to Go,Muffin to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,4.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blueberry-pie-ts--,3ERNED6DNGCIB6FN2NVVZLRZ,Blueberry Pie (TS),,,5542774,,Pies to Stay,Pies to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,9.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#blueberry-pie-to-go-slice,LN4RDW2EX6PTMBM7TNBHD2DB,Blueberry Pie to Go,Slice,,119928W,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blueberry-pie-to-go-8inch,IPFBHREJKFTF7JAG2NHRA4BZ,Blueberry Pie to Go,8inch,,583426A,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,,29.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#blueberry-pie-to-go-10inch,KQAJTSLWWT5J6CBOJRNS5GCB,Blueberry Pie to Go,10inch,,Q817507,,Pies to Go,Pies to Go,,,,,visible,Prepared food and beverage,,,,,,,,38.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#boston-cream-cupcake-ts--,IDXK6GCKLFU43OCMQBD6LIQM,Boston Cream Cupcake (TS),,,R651944,,Cupcakes to Stay,Cupcakes to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,4.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#boston-cream-cupcake-to-go-,FIQZPGABWKULYSKK5ECJGSFN,Boston Cream Cupcake to Go,,,R220179,,Cupcakes to Go,Cupcakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,4.25,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#brownie-,USEL5WLV6BFYO4VQFA2OZNQE,Brownie,,,Q600159,,Brownies to Go,Brownies to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,4.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#brownie-w-walnuts-,BADTAPCPAC2OQ7GJMLNXDJCF,Brownie w/ Walnuts,,,5712541,,Brownies to Go,Brownies to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,4.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#burnt-almond-cake-slice,O3JZJZKCNDJVHQ5VHT4CVRWM,Burnt Almond Cake,Slice,,762606J,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#burnt-almond-cake-7inch,VAINJ66ELE43FG63DDRXJO3D,Burnt Almond Cake,7inch,,7100899,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,50.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#burnt-almond-cake-8inch,5UYXXC3NEXANHUFA6JEOSI6C,Burnt Almond Cake,8inch,,C238349,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,54.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#burnt-almond-cake-10inch,VRCFJ6P2SMHNZMR54AV4OEE2,Burnt Almond Cake,10inch,,192954K,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,65.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#burnt-almond-cake-qs,W67WZ6GUQHEHPH7NZIK7MTZB,Burnt Almond Cake,QS,,127903P,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,100.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#burnt-almond-cake-hs,HNUZ5FPJLL5YABEK6ATVSVVG,Burnt Almond Cake,HS,,396671L,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,175.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#burnt-almond-cake-fs,KX4P4FWXM3JF73SEB54UKQSE,Burnt Almond Cake,FS,,473901V,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,240.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#butter-cookie-tray-to-go-small,EJKS5QVLU6CFBGWIZ3A46MOX,Butter Cookie Tray to Go,Small,,402629V,,Cookie Packs to Go,Cookie Packs to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,21.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#butter-cookie-tray-to-go-large,BYYW4COGQ4XIK75AYILQESTI,Butter Cookie Tray to Go,Large,,405605Z,,Cookie Packs to Go,Cookie Packs to Go,,,,,visible,Prepared food and beverage,,,,,,,,38.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#butter-cookies-to-go-,QUTWM7TUCPAVPAW5LUXGD54J,Butter Cookies to Go,,Pound 1.000,714955J,,Cookies by the Pound to Go,Cookies by the Pound to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,24.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#caf-mocha-ts--,BEFOK4OBT65ISYIMHNS32JFA,Café Mocha (TS),,,480458D,,Hot Drinks to Stay,Hot Drinks to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,6.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,Y
#caf-mocha-to-go-small,IJBNQ2PNSVTNBL77DJESQCYY,Café Mocha to Go,Small,,439080Y,,Hot Drinks to Go,Hot Drinks to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,5.05,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N
#caf-mocha-to-go-large,MHIZM4EKKAJTF2PLSKO6CN6M,Café Mocha to Go,Large,,791523M,,Hot Drinks to Go,Hot Drinks to Go,,,,,visible,Prepared food and beverage,,,,,,,,6.05,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N
#caf-au-lait-ts--,YDW4REDUIPG2EIYC2DN6MHSD,Café au Lait (TS),,,525924T,,Hot Drinks to Stay,Hot Drinks to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,4.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,Y
#caf-au-lait-to-go-small,TUXYR5UZLC6OTRYLEQ6CIAWQ,Café au Lait to Go,Small,,2705801,,Hot Drinks to Go,Hot Drinks to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,3.44,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N
#caf-au-lait-to-go-large,MHMHSMX4IT6JWBJ3TX55UHQ6,Café au Lait to Go,Large,,T600001,,Hot Drinks to Go,Hot Drinks to Go,,,,,visible,Prepared food and beverage,,,,,,,,4.19,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N
#cake-cutter-,34OV6ASSPZ4ECPPWL3SB7OJX,Cake Cutter,,,681139Y,,Add-ons to Go,Add-ons to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,2.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#candles-,MSY2SVIHX5BKDM4QS7M3YIQY,Candles,,,B652105,,Add-ons to Go,Add-ons to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,3.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#cannoli-ts--,C55FG7ZLDMYMFMOSEGRI3PET,Cannoli (TS),,,218921W,,Cookies by the Piece to Stay,Cookies by the Piece to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,6.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#cannoli-to-go-,BE6RGHF3JLNGE3BTEUJVVUOK,Cannoli to Go,,,2266263,,Cookies by the Piece to Go,Cookies by the Piece to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,5.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#cannookie-to-go-,P7LHP2YBDEJZMDAYPWE2AAIK,Cannookie to Go,,,7080810,,Cookies by the Piece to Go,Cookies by the Piece to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,5.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#cappuccino-ts--,SQLLZ42P5VQSFKF2QMXLN3YM,Cappuccino (TS),,,A377735,,Hot Drinks to Stay,Hot Drinks to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,5.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,Y
#cappuccino-to-go-small,YCZR6AWZNRFDERNY26EALN2E,Cappuccino to Go,Small,,740049G,,Hot Drinks to Go,Hot Drinks to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,4.36,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N
#cappuccino-to-go-large,BOUSUQW5D3MNMGEUEEG66PP3,Cappuccino to Go,Large,,8017925,,Hot Drinks to Go,Hot Drinks to Go,,,,,visible,Prepared food and beverage,,,,,,,,5.36,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N
#caramel-cake-pop-ts--,6D3YTBLQ6AWHQCD7PZEAVXJK,Caramel Cake Pop (TS),,,R227228,,Cupcakes to Stay,Cupcakes to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,3.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#caramel-cake-pop-to-go-,52ZTCHOGXTDNPIKPNIO4XKDF,Caramel Cake Pop to Go,,,Y514612,,Cupcakes to Go,Cupcakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,2.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#caramel-cheesecake-slice,BUEAH6R3MI7XGMFPXTUVIURK,Caramel Cheesecake,Slice,,494291T,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#caramel-cheesecake-8inch,B3VSLOFPLCKXJH5H6FAXVZLU,Caramel Cheesecake,8inch,,868908Y,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,56.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#caramel-cheesecake-10inch,LCYF4HWDGWPJ74IISLNX5BYE,Caramel Cheesecake,10inch,,5997200,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,68.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#caramel-pound-cake-ts--,U4W6IIO3LBZTLWPDDWM3FKFN,Caramel Pound Cake (TS),,,S730322,,Pound Cake to Stay,Pound Cake to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,3.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#caramel-pound-cake-to-go-slice,X2WKCMR4YXA7KMHAGCFGUAZU,Caramel Pound Cake to Go,Slice,,J418242,,Pound Cake to Go,Pound Cake to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,3.75,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#caramel-pound-cake-to-go-loaf,AQWLPXOZHH7SC35XSY5R3CTT,Caramel Pound Cake to Go,Loaf,,P841518,,Pound Cake to Go,Pound Cake to Go,,,,,visible,Prepared food and beverage,,,,,,,,6.50,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#carrot-cake-slice,HMZ6JJF5B4WAK2KCQ2NA3H2Y,Carrot Cake,Slice,,622057G,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#carrot-cake-7inch,VY3ZPTYRWF3GHBUXHFCYX27C,Carrot Cake,7inch,,105245F,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,50.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#carrot-cake-8inch,XVJQVY6XLIAFC5Z2NIE4K7O5,Carrot Cake,8inch,,693251T,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,54.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#carrot-cake-10inch,WCDRXGBFBVWWQ6B43KBBCDAS,Carrot Cake,10inch,,D869021,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,65.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#carrot-cake-qs,3DQSR2CUX5RQYOLBNP6SSM7E,Carrot Cake,QS,,229645M,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,100.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#carrot-cake-hs,7ULVCMZPQFQCSDG5FVWBO4YT,Carrot Cake,HS,,888793N,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,175.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#carrot-cake-fs,WSUNCTDEJFYFENG6CPXVVSYP,Carrot Cake,FS,,3869674,,Cakes to Go,Cakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,240.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#carrot-cheesecake-slice,3F7KLLIAP4XWOEHLJRM3ZZ5L,Carrot Cheesecake,Slice,,3896033,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,8.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#carrot-cheesecake-8inch,B64YDP6XJNTTGZATJMJDHCMJ,Carrot Cheesecake,8inch,,283187V,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,56.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#carrot-cheesecake-10inch,CSXAFPC26HOOS7XNCATTZI2Q,Carrot Cheesecake,10inch,,T543457,,Cheesecakes to Go,Cheesecakes to Go,,,,,visible,Prepared food and beverage,,,,,,,,68.00,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
#chai-latte-ts--,ZC66VIMZMMH7LCWJYJA7FDAK,Chai Latte (TS),,,9718693,,Hot Drinks to Stay,Hot Drinks to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,6.50,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,Y
#chai-latte-to-go-small,4HZU3CJPRPXBY52GZY6ACXK2,Chai Latte to Go,Small,,E740156,,Hot Drinks to Go,Hot Drinks to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,5.05,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N
#chai-latte-to-go-large,UTNBGZIXDBZQAB5N7JTGGEMJ,Chai Latte to Go,Large,,6341264,,Hot Drinks to Go,Hot Drinks to Go,,,,,visible,Prepared food and beverage,,,,,,,,6.05,,N,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N
#cheese-danish-ts--,D5G4Y6BYATIFPOFL4HGZB363,Cheese Danish (TS),,,633930R,,Danish to Stay,Danish to Stay,,,,,visible,Prepared food and beverage,,,,,,,Y,5.00,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y
#cheese-danish-to-go-,24XMPQDDCGS3VC3HVV4F6SCD,Cheese Danish to Go,,,960290D,,Danish to Go,Danish to Go,,,,,visible,Prepared food and beverage,,,,,,,Y,4.95,,N,,N,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,N,N,N,N,N,N,N,N,N,N,N
